shop_name,url,place,types,star,price_dinner,price_lunch,holiday
フランス菓子 ル リス,https://tabelog.com/tokyo/A1320/A132001/13101797/,三鷹市,ケーキ、チョコレート、パン,3.61,～￥999,～￥999,月曜・火曜
PATISSERIE 栞杏1928,https://tabelog.com/tokyo/A1316/A131601/13223401/,目黒駅 316m,ケーキ、チョコレート,3.34,￥1000～￥1999,￥2000～￥2999,不定休
Patisserie Snow Man,https://tabelog.com/tokyo/A1327/A132701/13274658/,玉川学園前駅 76m,ケーキ、洋菓子（その他）、バームクーヘン,-,-,～￥999,-
パティスリー コテ デュ ボワ,https://tabelog.com/tokyo/A1320/A132001/13049459/,三鷹市,ケーキ、カフェ,3.7,-,～￥999,火曜日
パティスリーキハチ トウキョウミタス店,https://tabelog.com/tokyo/A1302/A130201/13209230/,東京駅 163m,洋菓子（その他）,3.23,￥1000～￥1999,￥2000～￥2999,トウキョウミタスに準ずる
パティスリー・ラ・バランス銀座,https://tabelog.com/tokyo/A1301/A130101/13121493/,銀座駅 357m,ケーキ、チョコレート,3.2,￥2000～￥2999,￥1000～￥1999,土日祝
パティスリー　バナナや,https://tabelog.com/tokyo/A1318/A131812/13053760/,世田谷代田駅 541m,ケーキ,3.17,～￥999,～￥999,-
ラ・メゾン アンソレイユターブル パティスリー ウィング高輪EAST店,https://tabelog.com/tokyo/A1316/A131603/13195494/,品川駅 65m,ケーキ,3.09,～￥999,￥3000～￥3999,不定休
パティスリー ドゥ ラベイユ,https://tabelog.com/tokyo/A1319/A131906/13221566/,荻窪駅 279m,ケーキ、洋菓子（その他）,3.09,-,￥1000～￥1999,-
パティスリー ハナシロ,https://tabelog.com/tokyo/A1323/A132304/13188378/,東十条駅 345m,ケーキ、マカロン,3.06,-,～￥999,不定休
パティスリークィーン・アリス 羽田空港店,https://tabelog.com/tokyo/A1315/A131504/13104003/,羽田空港第２ターミナル（東京モノレール）駅 158m,ケーキ,3.06,-,￥1000～￥1999,-
パティスリーシェフ アトレ亀戸店,https://tabelog.com/tokyo/A1312/A131202/13109350/,亀戸駅 103m,洋菓子（その他）,3.05,-,～￥999,無休
パティスリーQBG TOKYO STATION limited edition,https://tabelog.com/tokyo/A1302/A130201/13193829/,東京駅 96m,ケーキ,3.03,-,-,無休
パティスリー ルプティポ,https://tabelog.com/tokyo/A1321/A132101/13171677/,東長崎駅 676m,ケーキ、パン,3.03,-,-,月曜日(月曜日が祝日の場合は営業。翌火曜日に休業します...
パティスリークローバー パルコ調布店,https://tabelog.com/tokyo/A1326/A132601/13138585/,調布駅 160m,洋菓子（その他）,3,-,￥1000～￥1999,年中無休
パティスリープルーム TOKYO Me+店,https://tabelog.com/tokyo/A1302/A130201/13202097/,東京駅 96m,洋菓子（その他）、ドーナツ,-,-,-,無休
BAR&PATISSERIE Megan,https://tabelog.com/tokyo/A1303/A130301/13225125/,代官山駅 661m,カフェ、バー、スイーツ（その他）,3.36,￥2000～￥2999,￥1000～￥1999,なし
patisserie le-333,https://tabelog.com/tokyo/A1307/A130703/13238427/,広尾駅 140m,ケーキ、パフェ、カフェ,3.23,～￥999,～￥999,無し
パティスリー・ルミュー,https://tabelog.com/tokyo/A1326/A132601/13005970/,つつじケ丘駅 62m,ケーキ、カフェ,3.63,～￥999,～￥999,水曜日
リムヴェール パティスリー カフェ,https://tabelog.com/tokyo/A1318/A131814/13182857/,祖師ケ谷大蔵駅 86m,ケーキ、カフェ,3.62,￥1000～￥1999,￥1000～￥1999,不定休
パティスリー キハチ 羽田空港第2ターミナル店,https://tabelog.com/tokyo/A1315/A131504/13024619/,羽田空港第２ターミナル（東京モノレール）駅 78m,ケーキ、アイスクリーム,3.56,～￥999,～￥999,無休
パティスリー・アラカンパーニュ 池袋店,https://tabelog.com/tokyo/A1305/A130501/13116092/,池袋駅 373m,カフェ、フレンチ、ケーキ,3.54,￥1000～￥1999,￥1000～￥1999,池袋マルイに準ずる
パティスリー キハチ 羽田空港第１ターミナル店,https://tabelog.com/tokyo/A1315/A131504/13047484/,羽田空港第１ターミナル（東京モノレール）駅 99m,洋菓子（その他）、ソフトクリーム,3.47,～￥999,～￥999,第1旅客ターミナルマーケットプレイスに準ずる
ブーランジェリー・パティスリー・クリスタ,https://tabelog.com/tokyo/A1308/A130803/13213475/,麹町駅 177m,パン、サンドイッチ、ケーキ,3.33,～￥999,～￥999,土日祝
パティスリー・ユイ,https://tabelog.com/tokyo/A1313/A131301/13095645/,新富町駅 354m,洋菓子（その他）,3.32,-,～￥999,日曜日
パティスリー・キハチ 東武百貨店池袋店,https://tabelog.com/tokyo/A1305/A130501/13198535/,池袋駅 61m,ケーキ、洋菓子（その他）,3.24,～￥999,～￥999,不定休(東武百貨店池袋店に準ずる)
パティスリーヴィヴィエンヌ,https://tabelog.com/tokyo/A1329/A132904/13138145/,八王子駅 216m,ケーキ、洋菓子（その他）,3.2,-,～￥999,無休　（東急スクウェアの営業日に準じます）
パティスリー ジャン・ミエ 玉川高島屋S・C店,https://tabelog.com/tokyo/A1317/A131708/13008144/,二子玉川駅 278m,ケーキ,3.15,￥1000～￥1999,￥1000～￥1999,不定休（高島屋に準ずる）
パティスリー ウフ 桜台,https://tabelog.com/tokyo/A1321/A132101/13240055/,桜台駅 118m,ケーキ,3.12,-,～￥999,木曜日・金曜日・土曜日
パティスリーモア,https://tabelog.com/tokyo/A1317/A131714/13224830/,雪が谷大塚駅 150m,ケーキ、洋菓子（その他）,3.11,-,～￥999,不定休(SNSにて告知。日曜日が休みの場合もあり)
パティスリー スワロウテイル マジ クレープ,https://tabelog.com/tokyo/A1305/A130501/13242668/,池袋駅 399m,クレープ,3.09,～￥999,～￥999,-
デルレイ銀座 パティスリー,https://tabelog.com/tokyo/A1301/A130101/13229508/,銀座駅 201m,ケーキ、チョコレート、マカロン,3.08,～￥999,～￥999,年末年始
